Kota/Kabupaten;Tahun;IPM;AHH;HLS;RLS;PPRD;SMA;AMH
Kabupaten Pacitan;2017;66,51;71,31;12,41;7,02;8288;;
Kabupaten Ponorogo;2017;69,26;72,27;13,7;7,01;9107;;
Kabupaten Trenggalek;2017;68,1;73,15;12,1;7,2;9034;;
Kabupaten Tulungagung;2017;71,24;73,53;13,04;7,82;10114;;
Kabupaten Blitar;2017;69,33;72,99;12,43;7,26;9828;;
Kabupaten Kediri;2017;70,47;72,25;12,86;7,65;10326;;
Kabupaten Malang;2017;68,47;72,12;12,56;7,17;9356;;
Kabupaten Lumajang;2017;64,23;69,5;11,78;6,2;8503;;
Kabupaten Jember;2017;64,96;68,54;12,79;6,06;8698;;
Kabupaten Banyuwangi;2017;69,64;70,19;12,68;7,11;11438;;
Kabupaten Bondowoso;2017;64,75;66,04;12,94;5,55;10086;;
Kabupaten Situbondo;2017;65,68;68,53;13;6,03;9178;;
Kabupaten Probolinggo;2017;64,28;66,47;12,06;5,68;10239;;
Kabupaten Pasuruan;2017;66,69;69,9;12,05;6,82;9556;;
Kabupaten Sidoarjo;2017;78,7;73,71;14,34;10,23;13710;;
Kabupaten Mojokerto;2017;72,36;72,1;12,52;8,15;12240;;
Kabupaten Jombang;2017;70,88;71,87;12,7;8,06;10560;;
Kabupaten Nganjuk;2017;70,69;71,11;12,83;7,38;11560;;
Kabupaten Madiun;2017;70,27;70,77;13,12;7,3;11012;;
Kabupaten Magetan;2017;72,6;72,16;13,72;7,94;11288;;
Kabupaten Ngawi;2017;69,27;71,74;12,67;6,66;10899;;
Kabupaten Bojonegoro;2017;67,28;70,83;12,34;6,71;9553;;
Kabupaten Tuban;2017;66,77;70,8;12,18;6,48;9540;;
Kabupaten Lamongan;2017;71,11;71,87;13,45;7,54;10664;;
Kabupaten Gresik;2017;74,84;72,36;13,7;8,95;12375;;
Kabupaten Bangkalan;2017;62,3;69,82;11,57;5,14;8192;;
Kabupaten Sampang;2017;59,9;67,67;11,38;4,12;8352;;
Kabupaten Pamekasan;2017;64,93;67,05;13,61;6,25;8311;;
Kabupaten Sumenep;2017;64,28;70,71;12,74;5,22;8316;;
